Participant,Technique,NumberOfTargets,Perplexity,trial_time
sub_7,DiscPIM,4,High,24.96004333
sub_8,AssistVR,1,Low,6.792795
sub_8,AssistVR,1,Medium,13.851059
sub_8,AssistVR,1,High,12.162229
sub_8,AssistVR,2,Low,11.600208
sub_8,AssistVR,2,Medium,15.55450567
sub_8,AssistVR,2,High,22.50691733
sub_8,AssistVR,4,Low,27.76240333
sub_8,AssistVR,4,Medium,39.28307333
sub_8,AssistVR,4,High,30.72883667
sub_8,DiscPIM,1,Low,17.16705
sub_8,DiscPIM,1,Medium,23.46325633
sub_8,DiscPIM,1,High,17.064574
sub_8,DiscPIM,2,Low,46.85046
sub_8,DiscPIM,2,Medium,31.51861333
sub_8,DiscPIM,2,High,30.26883667
sub_8,DiscPIM,4,Low,35.33036333
sub_8,DiscPIM,4,Medium,35.76233
sub_8,DiscPIM,4,High,35.19978667
sub_9,AssistVR,1,Low,15.76748
sub_9,AssistVR,1,Medium,7.465677333
sub_9,AssistVR,1,High,16.58557067
sub_9,AssistVR,2,Low,11.34558167
sub_9,AssistVR,2,Medium,8.564461667
sub_9,AssistVR,2,High,12.93268
sub_9,AssistVR,4,Low,11.962323
sub_9,AssistVR,4,Medium,38.39143
sub_9,AssistVR,4,High,11.58528667
sub_9,DiscPIM,1,Low,4.505025333
sub_9,DiscPIM,1,Medium,9.086607333
sub_9,DiscPIM,1,High,11.473206
sub_9,DiscPIM,2,Low,8.614439667
sub_9,DiscPIM,2,Medium,10.83856367
sub_9,DiscPIM,2,High,28.99001333
sub_9,DiscPIM,4,Low,14.94438
sub_9,DiscPIM,4,Medium,26.33267
sub_9,DiscPIM,4,High,45.04880333
sub_10,AssistVR,1,Low,30.028213
sub_10,AssistVR,1,Medium,6.718760667
sub_10,AssistVR,1,High,21.50600267
sub_10,AssistVR,2,Low,23.3589
sub_10,AssistVR,2,Medium,8.422443333
sub_10,AssistVR,2,High,17.13704
sub_10,AssistVR,4,Low,8.911041333
sub_10,AssistVR,4,Medium,11.787607
sub_10,AssistVR,4,High,14.75521333
sub_10,DiscPIM,1,Low,8.926451
sub_10,DiscPIM,1,Medium,9.672893
sub_10,DiscPIM,1,High,11.111552
sub_10,DiscPIM,2,Low,11.62701333
sub_10,DiscPIM,2,Medium,13.47617667
sub_10,DiscPIM,2,High,29.00171333
sub_10,DiscPIM,4,Low,23.33945
sub_10,DiscPIM,4,Medium,31.49269667
sub_10,DiscPIM,4,High,29.05646667
sub_11,AssistVR,1,Low,9.65793
sub_11,AssistVR,1,Medium,13.24121
sub_11,AssistVR,1,High,3.898244333
sub_11,AssistVR,2,Low,11.65344367
sub_11,AssistVR,2,Medium,5.877400667
sub_11,AssistVR,2,High,16.64917167
sub_11,AssistVR,4,Low,11.76575667
sub_11,AssistVR,4,Medium,9.632120333
sub_11,AssistVR,4,High,31.83067333
sub_11,DiscPIM,1,Low,7.385234667
sub_11,DiscPIM,1,Medium,28.512812
sub_11,DiscPIM,1,High,5.484487
sub_11,DiscPIM,2,Low,8.525674667
sub_11,DiscPIM,2,Medium,8.532399333
sub_11,DiscPIM,2,High,21.33268233
sub_11,DiscPIM,4,Low,18.67502667
sub_11,DiscPIM,4,Medium,29.74774333
sub_11,DiscPIM,4,High,39.62788667
sub_12,AssistVR,1,Low,14.34949733
sub_12,AssistVR,1,Medium,12.63903767
sub_12,AssistVR,1,High,31.29422
sub_12,AssistVR,2,Low,9.674745
sub_12,AssistVR,2,Medium,13.39510133
sub_12,AssistVR,2,High,10.16581367
sub_12,AssistVR,4,Low,6.393758
sub_12,AssistVR,4,Medium,10.203755
sub_12,AssistVR,4,High,16.30328867
sub_12,DiscPIM,1,Low,8.582031667
sub_12,DiscPIM,1,Medium,5.134587667
sub_12,DiscPIM,1,High,26.26025333
sub_12,DiscPIM,2,Low,14.12313
sub_12,DiscPIM,2,Medium,13.17393133
sub_12,DiscPIM,2,High,6.525207667
sub_12,DiscPIM,4,Low,33.75915667
sub_12,DiscPIM,4,Medium,37.74003333
sub_12,DiscPIM,4,High,30.23498667
sub_13,AssistVR,1,Low,8.766978333
sub_13,AssistVR,1,Medium,16.714752
sub_13,AssistVR,1,High,25.05666
sub_13,AssistVR,2,Low,8.612548667
sub_13,AssistVR,2,Medium,10.43303967
sub_13,AssistVR,2,High,21.24513667
sub_13,AssistVR,4,Low,11.560213
sub_13,AssistVR,4,Medium,10.22354267
sub_13,AssistVR,4,High,12.97897333
sub_13,DiscPIM,1,Low,5.643086667
sub_13,DiscPIM,1,Medium,7.583616333
sub_13,DiscPIM,1,High,16.81389333
sub_13,DiscPIM,2,Low,13.01029333
sub_13,DiscPIM,2,Medium,15.62048
sub_13,DiscPIM,2,High,43.13654667
sub_13,DiscPIM,4,Low,30.1604
sub_13,DiscPIM,4,Medium,58.83959667
sub_13,DiscPIM,4,High,48.38240667
sub_14,AssistVR,1,Low,9.341675
sub_14,AssistVR,1,Medium,24.02505333
sub_14,AssistVR,1,High,7.359761667
sub_14,AssistVR,2,Low,9.063416333
sub_14,AssistVR,2,Medium,11.66602633
sub_14,AssistVR,2,High,13.32038333
sub_14,AssistVR,4,Low,12.001608
sub_14,AssistVR,4,Medium,14.30303
sub_14,AssistVR,4,High,16.46926
sub_14,DiscPIM,1,Low,6.168010333
sub_14,DiscPIM,1,Medium,4.237325
sub_14,DiscPIM,1,High,16.11169333
sub_14,DiscPIM,2,Low,8.575967667
sub_14,DiscPIM,2,Medium,18.19132667
sub_14,DiscPIM,2,High,14.126668
sub_14,DiscPIM,4,Low,33.32593
sub_14,DiscPIM,4,Medium,20.4518
sub_14,DiscPIM,4,High,38.69325667
sub_15,AssistVR,1,Low,9.044995667
sub_15,AssistVR,1,Medium,5.578473667
sub_15,AssistVR,1,High,17.19398
sub_15,AssistVR,2,Low,30.168275
sub_15,AssistVR,2,Medium,29.71415333
sub_15,AssistVR,2,High,15.51770833
sub_15,AssistVR,4,Low,16.67689
sub_15,AssistVR,4,Medium,16.53507667
sub_15,AssistVR,4,High,21.20884
sub_15,DiscPIM,1,Low,10.464801
sub_15,DiscPIM,1,Medium,6.454976667
sub_15,DiscPIM,1,High,9.456869
sub_15,DiscPIM,2,Low,8.586549333
sub_15,DiscPIM,2,Medium,31.47725
sub_15,DiscPIM,2,High,83.80634333
sub_15,DiscPIM,4,Low,23.34814667
sub_15,DiscPIM,4,Medium,31.84400333
sub_15,DiscPIM,4,High,45.72809
sub_16,AssistVR,1,Low,12.69269933
sub_16,AssistVR,1,Medium,5.922444667
sub_16,AssistVR,1,High,41.80814667
sub_16,AssistVR,2,Low,24.52025333
sub_16,AssistVR,2,Medium,17.92818333
sub_16,AssistVR,2,High,21.38901667
sub_16,AssistVR,4,Low,46.12056
