subject_id,Technique,perplexity,num_targets,global_trial_idx,trial_type,trial_id,distance_to_obj,num_attempts,trial_time,left_hand_distance_travelled,right_hand_distance_travelled,left_trigger_clicked,right_trigger_clicked,left_grip_clicked,right_grip_clicked
sub_1,AssistVR,High,2,49,Search,1,13.56666,1,15.21423,1.704309,0.03185005,1,2,0,0
sub_1,AssistVR,High,2,50,Repeat,1,13.58148,1,19.11365,1.072216,0.06604918,0,2,0,0
sub_1,AssistVR,High,2,51,Search,2,4.149105,1,34.91736,1.633309,0.1792471,1,1,0,0
sub_1,AssistVR,High,2,52,Repeat,2,4.144679,1,8.411743,0.8270457,0.0921106,1,0,0,0
sub_1,AssistVR,High,2,53,Search,3,13.34249,1,13.5061,0.4704962,0.05946367,0,0,0,0
sub_1,AssistVR,High,2,54,Repeat,3,13.30911,1,1.601379,0.06437209,0.01498336,0,0,0,0
sub_1,DiscPIM,Low,2,55,Search,1,13.45508,1,19.89455,1.72121,0.9751799,2,0,1,6
sub_1,DiscPIM,Low,2,56,Repeat,1,13.48801,1,7.169975,0.9355375,0.3247384,1,0,1,3
sub_1,DiscPIM,Low,2,57,Search,2,5.764412,1,19.07302,2.662602,0.5951374,1,3,1,6
sub_1,DiscPIM,Low,2,58,Repeat,2,5.774506,1,10.85973,1.196314,0.2684586,2,0,0,5
sub_1,DiscPIM,Low,2,59,Search,3,8.565978,1,12.81167,1.611177,0.4560902,1,1,0,3
sub_1,DiscPIM,Low,2,60,Repeat,3,8.571417,1,8.103874,1.203454,0.2739648,0,0,0,2
sub_1,DiscPIM,Low,4,61,Search,1,8.393228,1,13.39132,1.492039,0.4895496,1,0,0,4
sub_1,DiscPIM,Low,4,62,Repeat,1,8.413772,1,11.31829,1.539169,0.4677769,1,1,1,5
sub_1,DiscPIM,Low,4,63,Search,2,4.265059,1,23.41574,2.320149,0.8888311,1,2,0,8
sub_1,DiscPIM,Low,4,64,Repeat,2,4.271431,1,16.98408,2.062899,0.5650952,2,0,0,8
sub_1,DiscPIM,Low,4,65,Search,3,13.33483,1,30.55766,2.487359,0.5544925,1,1,0,11
sub_1,DiscPIM,Low,4,66,Repeat,3,13.33799,1,18.37558,1.445616,0.3822602,1,0,0,6
sub_1,DiscPIM,Low,1,67,Search,1,13.30039,1,9.829323,0.9345632,0.1844757,2,2,0,2
sub_1,DiscPIM,Low,1,68,Repeat,1,13.31593,1,4.982758,0.7819148,0.1779607,1,1,0,1
sub_1,DiscPIM,Low,1,69,Search,2,10.01755,1,8.854195,0.7640063,0.2624898,2,0,0,7
sub_1,DiscPIM,Low,1,70,Repeat,2,10.01961,1,6.599758,0.7076225,0.1421565,1,0,0,2
sub_1,DiscPIM,Low,1,71,Search,3,11.66447,1,4.051865,0.8372427,0.131605,1,0,0,1
sub_1,DiscPIM,Low,1,72,Repeat,3,11.6599,1,6.861343,1.23847,0.4858507,2,0,0,2
sub_1,DiscPIM,Medium,1,73,Search,1,11.639,1,4.890236,0.6646123,0.2417489,1,0,0,1
sub_1,DiscPIM,Medium,1,74,Repeat,1,11.66702,1,5.360794,0.8181906,0.2405442,1,0,0,5
sub_1,DiscPIM,Medium,1,75,Search,2,4.291505,1,6.474686,0.7790354,0.3175855,1,1,0,2
sub_1,DiscPIM,Medium,1,76,Repeat,2,4.298777,1,5.1506,0.9248602,0.3640464,1,1,0,3
sub_1,DiscPIM,Medium,1,77,Search,3,8.441753,1,3.078308,0.7515731,0.3172057,2,0,0,1
sub_1,DiscPIM,Medium,1,78,Repeat,3,8.445529,1,2.784233,0.6378062,0.2442995,2,0,0,1
sub_1,DiscPIM,Medium,2,79,Search,1,5.959411,1,8.204952,0.8171061,0.3645187,3,2,1,4
sub_1,DiscPIM,Medium,2,80,Repeat,1,5.986272,1,4.978668,0.9087649,0.2949574,2,0,0,2
sub_1,DiscPIM,Medium,2,81,Search,2,9.8391,1,17.72265,1.614102,0.486984,2,0,0,6
sub_1,DiscPIM,Medium,2,82,Repeat,2,9.80815,1,7.48127,1.138726,0.4665615,3,1,0,2
sub_1,DiscPIM,Medium,2,83,Search,3,3.14443,1,9.259399,1.39298,0.3216682,4,0,0,6
sub_1,DiscPIM,Medium,2,84,Repeat,3,3.149452,1,4.343864,0.7939867,0.3091774,3,0,0,2
sub_1,DiscPIM,Medium,4,85,Search,1,4.156214,1,9.96907,1.112935,0.3609378,5,0,0,5
sub_1,DiscPIM,Medium,4,86,Repeat,1,4.170278,1,8.072906,0.9106418,0.2839187,4,0,0,5
sub_1,DiscPIM,Medium,4,87,Search,2,11.76482,1,16.83048,2.094477,0.3346686,3,1,0,11
sub_1,DiscPIM,Medium,4,88,Repeat,2,11.75671,1,10.91502,1.641561,0.4066043,5,0,0,7
sub_1,DiscPIM,Medium,4,89,Search,3,10.93634,1,14.45077,1.221844,0.4587502,5,0,0,6
sub_1,DiscPIM,Medium,4,90,Repeat,3,10.94491,1,16.34418,2.320532,0.3630417,5,1,0,15
sub_1,DiscPIM,High,1,91,Search,1,13.2484,1,13.23911,1.057525,0.7053847,1,1,0,2
sub_1,DiscPIM,High,1,92,Repeat,1,13.26901,1,4.803314,0.9788976,0.3447481,3,0,0,1
sub_1,DiscPIM,High,1,93,Search,2,6.21321,1,3.855827,0.7934894,0.3683455,2,0,0,2
sub_1,DiscPIM,High,1,94,Repeat,2,6.225933,1,1.934753,0.4263351,0.144821,2,0,0,1
sub_1,DiscPIM,High,1,95,Search,3,11.63873,1,5.652527,0.8255461,0.3066256,1,1,0,5
sub_1,DiscPIM,High,1,96,Repeat,3,11.65399,1,2.978363,0.7059278,0.1634732,1,0,0,2
sub_1,DiscPIM,High,2,97,Search,1,4.147431,2,8.076042,1.068755,0.4401864,3,0,0,4
sub_1,DiscPIM,High,2,98,Repeat,1,4.180137,1,5.722702,1.082761,0.2233212,3,0,0,6
sub_1,DiscPIM,High,2,99,Search,2,7.639426,1,16.33033,1.427719,0.519473,5,0,0,5
sub_1,DiscPIM,High,2,100,Repeat,2,7.656346,1,5.154015,0.9313201,0.3030663,2,0,0,3
sub_1,DiscPIM,High,2,101,Search,3,11.79241,1,11.66924,1.920554,0.3514958,2,1,0,6
sub_1,DiscPIM,High,2,102,Repeat,3,11.81825,1,8.619438,0.6480367,0.2643185,2,0,0,5
sub_1,DiscPIM,High,4,103,Search,1,13.29508,1,13.44055,1.461666,0.5105497,4,1,0,3
