Participant,Technique,NumberOfTargets,Perplexity,trial_time
sub_7,DiscPIM,4,High,13.78623333
sub_8,AssistVR,1,Low,2.643900667
sub_8,AssistVR,1,Medium,9.934248667
sub_8,AssistVR,1,High,8.853549333
sub_8,AssistVR,2,Low,7.548543667
sub_8,AssistVR,2,Medium,7.568349333
sub_8,AssistVR,2,High,14.97737567
sub_8,AssistVR,4,Low,9.943256
sub_8,AssistVR,4,Medium,13.88677867
sub_8,AssistVR,4,High,40.8091
sub_8,DiscPIM,1,Low,12.28408933
sub_8,DiscPIM,1,Medium,8.628624333
sub_8,DiscPIM,1,High,13.20695067
sub_8,DiscPIM,2,Low,14.355385
sub_8,DiscPIM,2,Medium,23.37044333
sub_8,DiscPIM,2,High,16.80070333
sub_8,DiscPIM,4,Low,34.11769667
sub_8,DiscPIM,4,Medium,34.72554667
sub_8,DiscPIM,4,High,40.25138
sub_9,AssistVR,1,Low,4.332636333
sub_9,AssistVR,1,Medium,3.473856667
sub_9,AssistVR,1,High,4.745687
sub_9,AssistVR,2,Low,5.255644333
sub_9,AssistVR,2,Medium,7.140158333
sub_9,AssistVR,2,High,10.24023567
sub_9,AssistVR,4,Low,8.195629
sub_9,AssistVR,4,Medium,9.376433
sub_9,AssistVR,4,High,9.279479333
sub_9,DiscPIM,1,Low,3.238363
sub_9,DiscPIM,1,Medium,3.176737333
sub_9,DiscPIM,1,High,4.7837525
sub_9,DiscPIM,2,Low,5.478922667
sub_9,DiscPIM,2,Medium,7.51953
sub_9,DiscPIM,2,High,14.32209
sub_9,DiscPIM,4,Low,11.90252667
sub_9,DiscPIM,4,Medium,20.82314
sub_9,DiscPIM,4,High,30.07078
sub_10,AssistVR,1,Low,6.482818667
sub_10,AssistVR,1,Medium,4.917348333
sub_10,AssistVR,1,High,7.492594
sub_10,AssistVR,2,Low,7.989288333
sub_10,AssistVR,2,Medium,7.442504667
sub_10,AssistVR,2,High,14.942733
sub_10,AssistVR,4,Low,8.184468
sub_10,AssistVR,4,Medium,7.290334
sub_10,AssistVR,4,High,10.30625833
sub_10,DiscPIM,1,Low,4.957072
sub_10,DiscPIM,1,Medium,5.961690667
sub_10,DiscPIM,1,High,7.919545333
sub_10,DiscPIM,2,Low,10.946922
sub_10,DiscPIM,2,Medium,11.43143667
sub_10,DiscPIM,2,High,17.88841667
sub_10,DiscPIM,4,Low,15.78704667
sub_10,DiscPIM,4,Medium,17.01574667
sub_10,DiscPIM,4,High,19.43836333
sub_11,AssistVR,1,Low,3.165334033
sub_11,AssistVR,1,Medium,5.607361
sub_11,AssistVR,1,High,1.819620667
sub_11,AssistVR,2,Low,6.172780333
sub_11,AssistVR,2,Medium,7.759724667
sub_11,AssistVR,2,High,12.803091
sub_11,AssistVR,4,Low,6.00885
sub_11,AssistVR,4,Medium,7.585612
sub_11,AssistVR,4,High,12.61834767
sub_11,DiscPIM,1,Low,5.970581
sub_11,DiscPIM,1,Medium,6.629805333
sub_11,DiscPIM,1,High,3.423391
sub_11,DiscPIM,2,Low,6.272033333
sub_11,DiscPIM,2,Medium,8.199342667
sub_11,DiscPIM,2,High,7.843536333
sub_11,DiscPIM,4,Low,18.57991667
sub_11,DiscPIM,4,Medium,22.94647667
